send,name,lat,lon,addr,roof_area_m2,peak_kw,panel_count,annual_kwh,savings_eur,payback_yrs,co2_tonnes,system_cost,pv_status,pv_coverage,email_found,email_sent,gmaps_url,gmb_found,gmb_confidence,gmb_name,gmb_phone,gmb_website,gmb_address,google_types,place_id,website,phone
YES,Christoudia Winery — Family Winery & Wine Tasting,34.8430776,33.2917285,"Kato Drys 7714, Cyprus",1282.1019331916837,128.0,256,197482,36534,3.7,112.6,134400,partial,0.065,info@christoudia.com,False,https://maps.google.com/?cid=5373367465691329340&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Christoudia Winery — Family Winery & Wine Tasting,99 034828,http://www.christoudia.com/,"Kato Drys 7714, Cyprus","winery, tourist_attraction, farm, event_venue, restaurant, service, food, point_of_interest, manufacturer, establishment",ChIJK33imu-64BQRPDMsoD0Jkko,http://www.christoudia.com/,99 034828
YES,Etko,34.66221,33.019275,"Tsiflikoudion Limassol CY 3045, Τσιφλικουδιών, Limasol 3010, Cyprus",793.2273412036119,79.0,158,119403,22090,3.8,68.1,82950,partial,0.136,support@etkocyprus.com,False,https://maps.google.com/?cid=16043215738749660426&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Etko,25 573391,https://etkocyprus.com/,"Tsiflikoudion Limassol CY 3045, Τσιφλικουδιών, Limasol 3010, Cyprus","event_venue, winery, farm, service, food, point_of_interest, manufacturer, establishment",ChIJPVV9pEMy5xQRCi0hu7bzpN4,https://etkocyprus.com/,25 573391
YES,Linos Winery,34.8383454,32.809532,"Omodos 4760, Cyprus",536.3329679481672,53.5,107,79341,14678,3.8,45.2,56175,none,0.0,linoswinery@cytanet.com.cy,False,https://maps.google.com/?cid=3044661250335980683&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Linos Winery,99 726161,https://linoswinery.com/,"Omodos 4760, Cyprus","winery, farm, service, food, point_of_interest, manufacturer, establishment",ChIJuWoz8DE55xQRizysn0bPQCo,https://linoswinery.com/,99 726161
YES,Kyperounta Winery,34.9442326,32.9818819,"ΓΡΙΒΑ ΔΙΓΕΝΗ 102, Kyperounta 4876, Cyprus",523.8444521541528,52.0,104,74548,13791,4.0,42.5,54600,none,0.017,kyperoundawinery@spidernet.com.cy,False,https://maps.google.com/?cid=12385109966482356255&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Kyperounta Winery,25 532043,http://www.kyperoundawinery.com/,"ΓΡΙΒΑ ΔΙΓΕΝΗ 102, Kyperounta 4876, Cyprus","winery, tourist_attraction, farm, service, food, point_of_interest, manufacturer, establishment",ChIJc9sDFXNO5xQRH7hUOOW_4Ks,http://www.kyperoundawinery.com/,25 532043
YES,Oenou Yi Winery,34.8538521,32.807491,"Δημήτρη Λιπέρτη, Omodos 4760, Cyprus",400,40.0,80,58196,10766,3.9,33.2,42000,none,0.0,bookings@oenouyiwine.com,False,https://maps.google.com/?cid=1985907482695663623&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Oenou Yi Winery,25 446000,https://www.oenouyiwine.com/,"Δημήτρη Λιπέρτη, Omodos 4760, Cyprus","winery, vineyard, farm, service, food, point_of_interest, manufacturer, establishment",ChIJv6uY40E_5xQRB4DdblVcjxs,https://www.oenouyiwine.com/,25 446000
YES,Dafermou Winery / Ktima Dafermou,34.854953699999996,33.319526599999996,"Road, Pano Lefkara 7700, Cyprus",400,40.0,80,60504,11193,3.8,34.5,42000,none,0.0,info@dafermouwinery.com,False,https://maps.google.com/?cid=16089895609972473796&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Dafermou Winery / Ktima Dafermou,97 810777,http://www.dafermouwinery.com/,"Road, Pano Lefkara 7700, Cyprus","winery, wine_bar, farm, event_venue, bar, service, food, point_of_interest, manufacturer, establishment",ChIJ9U8NXt-64BQRxL-GMc_KSt8,http://www.dafermouwinery.com/,97 810777
YES,Zambartas Wineries,34.7765864,32.8241242,"Grigores Afxentiou 39, Αγ. Αμβρόσιος Λεμεσού 4710, Cyprus",400,40.0,80,61147,11312,3.7,34.9,42000,none,0.0,hospitality@zambartaswineries.com,False,https://maps.google.com/?cid=8978846638388640079&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Zambartas Wineries,25 942424,http://www.zambartaswineries.com/,"Grigores Afxentiou 39, Αγ. Αμβρόσιος Λεμεσού 4710, Cyprus","winery, tourist_attraction, farm, service, food, point_of_interest, manufacturer, establishment",ChIJZyi3DeI75xQRT3ndFXJFm3w,http://www.zambartaswineries.com/,25 942424
YES,Vlassides Winery,34.8293463,32.8510978,"Κοιλάνι/Koilani, Lemesos 4776, Cyprus",400,40.0,80,59808,11064,3.8,34.1,42000,none,0.0,marketing@vlassideswinery.com,False,https://maps.google.com/?cid=5252085618305495674&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Vlassides Winery,97 789560,http://www.vlassideswinery.com/,"Κοιλάνι/Koilani, Lemesos 4776, Cyprus","winery, farm, service, food, point_of_interest, manufacturer, establishment",ChIJd7jA3Yo45xQRenIJCQso40g,http://www.vlassideswinery.com/,97 789560
,Hadjiantonas Winery,34.765501,33.1736362,"Pareklisia 4520, Cyprus",374.8311104389105,37.0,74,57321,10604,3.7,32.7,38850,confirmed,0.406,,False,https://maps.google.com/?cid=10963938054998465317&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Hadjiantonas Winery,25 025777,https://puningroup.com/news/company/chateau-punin-the-first-chateau-in-cyprus-featuring-pinot-noir-vineyards-on-its-castle-grounds-by-punin-group/,"Pareklisia 4520, Cyprus","winery, tourist_attraction, farm, service, food, point_of_interest, manufacturer, establishment",ChIJgRQA7Qu24BQRJRuSU5K7J5g,https://puningroup.com/news/company/chateau-punin-the-first-chateau-in-cyprus-featuring-pinot-noir-vineyards-on-its-castle-grounds-by-punin-group/,25 025777
YES,Ktima Gerolemo,34.8641734,32.8022263,"Omodos 4760, Cyprus",317.7270327157352,31.5,63,45899,8491,3.9,26.2,33075,none,0.0,%20ktimagerolemo@gmail.com,False,https://maps.google.com/?cid=3582673355947673711&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Ktima Gerolemo,99 696025,http://ktimagerolemo.com/,"Omodos 4760, Cyprus","winery, tourist_attraction, farm, service, food, point_of_interest, manufacturer, establishment",ChIJy_V5jqlA5xQRb4iEd282uDE,http://ktimagerolemo.com/,99 696025
