send,name,lat,lon,addr,roof_area_m2,peak_kw,panel_count,annual_kwh,savings_eur,payback_yrs,co2_tonnes,system_cost,pv_status,pv_coverage,email_found,email_sent,gmaps_url,gmb_found,gmb_confidence,gmb_name,gmb_phone,gmb_website,gmb_address,google_types,place_id,website,phone
,Dr Andreas Charalampous Dental clinic,34.6791286,33.023761,"Adonidos 20, Lemesos 3015, Cyprus",509.028157510099,4.0,8,6042,1118,3.8,3.4,4200,confirmed,0.989,,False,https://maps.google.com/?cid=16519757705038272955&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Dr Andreas Charalampous Dental clinic,97 758530,,"Adonidos 20, Lemesos 3015, Cyprus","dentist, point_of_interest, doctor, health, establishment",ChIJBbcC9G4z5xQRuxlUeBv4QeU,,97 758530
YES,DR. ELIAS ELIA,34.6846118,33.0287304,"Rubens 16, Lemesos 3075, Cyprus",462.9013070725358,3.5,7,5282,977,3.8,3.0,3675,confirmed,0.303,drelias@cytanet.com.cy,False,https://maps.google.com/?cid=397152476803956156&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,DR. ELIAS ELIA,25 336861,https://ophthalmic-clinic.com/,"Rubens 16, Lemesos 3075, Cyprus","medical_clinic, point_of_interest, doctor, health, establishment",ChIJtymiuqgz5xQRvP2QzRL4ggU,https://ophthalmic-clinic.com/,25 336861
YES,Ακτινολογικό Κέντρο Μεταξά | Ακτινολόγος Λεμεσός,34.681141800000006,33.0329607,"Lelas Karagianni 3, Lemesos 3020, Cyprus",447.131089230409,3.5,7,5282,977,3.8,3.0,3675,none,0.012,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,False,https://maps.google.com/?cid=13935278248619005138&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Ακτινολογικό Κέντρο Μεταξά | Ακτινολόγος Λεμεσός,25 717900,http://www.metaxa-radiologycenter.com/,"Lelas Karagianni 3, Lemesos 3020, Cyprus","point_of_interest, doctor, health, establishment",ChIJGU63ABkz5xQR0tQpH7wNZME,http://www.metaxa-radiologycenter.com/,25 717900
YES,Veterinary Clinic Dr. Akis Maratheftis,34.6933015,33.0221879,"Vasileos Konstantinou 83A, Lemesos 3077, Cyprus",387.59854036919535,2.5,5,3776,699,3.8,2.1,2625,none,0.045,info@oncyprus.com,False,https://maps.google.com/?cid=16688124838479127513&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Veterinary Clinic Dr. Akis Maratheftis,25 736147,https://www.oncyprus.com/en/biz/17044/contacts/id/13252.html,"Vasileos Konstantinou 83A, Lemesos 3077, Cyprus","veterinary_care, pet_care, point_of_interest, doctor, health, establishment",ChIJyz1Csbwz5xQR2ePrhB8hmOc,https://www.oncyprus.com/en/biz/17044/contacts/id/13252.html,25 736147
YES,AIMIS Clinics Athonitissa,34.688604399999996,33.010348,"Theodorou Potamianou 50, Kato Polemidia 4155, Cyprus",255.06717464853324,2.0,4,3021,559,3.8,1.7,2100,partial,0.091,mpapadopoulos@aimis.com,False,https://maps.google.com/?cid=11576682619918529175&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,AIMIS Clinics Athonitissa,25 864000,http://www.aimis.com/clinics,"Theodorou Potamianou 50, Kato Polemidia 4155, Cyprus","medical_center, medical_lab, medical_clinic, hospital, point_of_interest, doctor, service, health, establishment",ChIJWb-ey8kz5xQRl7KuxYGjqKA,http://www.aimis.com/clinics,25 864000
YES,Dr. Nicole Sakka - Dermatologist Venereologist,34.685624,33.046386999999996,"Limassol 3030, Cyprus",200,20.0,40,30181,5583,3.8,17.2,21000,none,0.0,info@sakkadermatologist.com,False,https://maps.google.com/?cid=10865118110424779801&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Dr. Nicole Sakka - Dermatologist Venereologist,25 253839,https://sakkadermatologist.com/,"Limassol 3030, Cyprus","point_of_interest, doctor, health, establishment",ChIJFytMGBIz5xQRGUyIBlunyJY,https://sakkadermatologist.com/,25 253839
,Michalis Varnava X-Ray Clinic,34.6817184,33.0348903,"Dodekanisou 11a, Lemesos 3021, Cyprus",200,20.0,40,30181,5583,3.8,17.2,21000,none,0.0,,False,https://maps.google.com/?cid=16161955721887903990&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Michalis Varnava X-Ray Clinic,25 377531,https://www.facebook.com/Michalis-Varnava-X-Ray-Clinic-996344290522321/,"Dodekanisou 11a, Lemesos 3021, Cyprus","doctor, point_of_interest, health, establishment",ChIJK3Hdwb4z5xQR9nC4bhnNSuA,https://www.facebook.com/Michalis-Varnava-X-Ray-Clinic-996344290522321/,25 377531
,"Dr. Georgios F. Ioannides, MD–PhD, ENT - Surgeon Ωτορινολαρυγγολόγος/ENT/оториноларинголог ЛОР otorhinolaryngologist limassol",34.684067500000005,33.0409225,"Aginoros 8, Lemesos 3026, Cyprus",173.66508439945449,1.0,2,1509,279,3.8,0.9,1050,likely,0.22,,False,https://maps.google.com/?cid=10292169043135134781&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,"Dr. Georgios F. Ioannides, MD–PhD, ENT - Surgeon Ωτορινολαρυγγολόγος/ENT/оториноларинголог ЛОР otorhinolaryngologist limassol",25 250202,https://www.facebook.com/ENTcentercy,"Aginoros 8, Lemesos 3026, Cyprus","medical_center, medical_clinic, hospital, point_of_interest, doctor, service, health, establishment",ChIJYdjvIQ8z5xQRPXxX6DYh1Y4,https://www.facebook.com/ENTcentercy,25 250202
YES,"Kolonakiou Medical Centre Personal and Specialist Doctors GESY, Medical Aesthetics, Ιατρικό Κέντρο ΓΕΣΥ Limassol Yermasogeia",34.7002849,33.07629,"Spyrou Kyprianou 14, Germasogeia 4040, Cyprus",148.16561249808277,1.0,2,1510,279,3.8,0.9,1050,none,0.0,support@kolonakioumedical.com,False,https://maps.google.com/?cid=15073330108517548615&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,"Kolonakiou Medical Centre Personal and Specialist Doctors GESY, Medical Aesthetics, Ιατρικό Κέντρο ΓΕΣΥ Limassol Yermasogeia",25 574800,http://www.kolonakioumedical.com/,"Spyrou Kyprianou 14, Germasogeia 4040, Cyprus","medical_center, hospital, point_of_interest, doctor, service, health, establishment",ChIJ58f5ZzMz5xQRR4JjLN85L9E,http://www.kolonakioumedical.com/,25 574800
,Vioiatriki Lemesou Ltd Clinical Laboratory,34.689696999999995,33.0320789,"Petrou Tsirou 52, Lemesos 3085, Cyprus",118.08898667336948,0.5,1,755,140,3.8,0.4,525,none,0.034,,False,https://maps.google.com/?cid=2706608655634534613&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Vioiatriki Lemesou Ltd Clinical Laboratory,25 384161,http://www.vioiatrikilemesou.com.cy/,"Petrou Tsirou 52, Lemesos 3085, Cyprus","doctor, point_of_interest, health, establishment",ChIJeURDG6cz5xQR1RAYaTvOjyU,http://www.vioiatrikilemesou.com.cy/,25 384161
