send,name,lat,lon,addr,roof_area_m2,peak_kw,panel_count,annual_kwh,savings_eur,payback_yrs,co2_tonnes,system_cost,pv_status,pv_coverage,email_found,email_sent,gmaps_url,gmb_found,gmb_confidence,gmb_name,gmb_phone,gmb_website,gmb_address,google_types,place_id,website,phone
,Stelios Vassou,34.78133060769231,32.42260843076923,Cyprus,675.3849112918965,5.5,11,8331,1541,3.7,4.8,5775,none,0.016,,False,https://maps.google.com/?cid=17141472938010416883&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Stelios Vassou,26 938759,,"QCJF+H34, Paphos 8020, Cyprus","car_repair, point_of_interest, service, establishment",ChIJ6a2sTAAH5xQR8xYVVdG-4u0,,26 938759
,Sedia,34.7826123,32.422650340000004,Cyprus,551.6996513755391,5.0,10,7574,1401,3.7,4.3,5250,none,0.0,,False,https://maps.google.com/?cid=5866367201419649285&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Sedia,26 967600,,"QCJF+V2X, Charilaou Trikoupi, Pafos 8020, Cyprus","furniture_store, home_improvement_store, home_goods_store, supplier, store, point_of_interest, establishment",ChIJk5X2T14G5xQRBeGeauOFaVE,,26 967600
,Cyprus Computer Services,34.78257597142857,32.42224635714286,Cyprus,454.28264031372294,3.0,6,4544,841,3.7,2.6,3150,none,0.014,,False,https://maps.google.com/?cid=15559521597989557949&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Cyprus Computer Services,,,"Charilaou Trikoupi 14, Pafos 8020, Cyprus","point_of_interest, service, establishment",ChIJY2c8RV4G5xQRvZYvm3SG7tc,,
,Public Parking Mouttallos,34.78051406,32.41946482,Cyprus,397.0642653746787,4.0,8,6059,1121,3.7,3.5,4200,none,0.004,,False,https://maps.google.com/?cid=6308242386894361061&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Public Parking Mouttallos,,,"QCJ9+4MP, Paphos 8016, Cyprus","transportation_service, point_of_interest, establishment",ChIJ58FsFZMH5xQR5ZHmQwdhi1c,,
YES,SmoClock Hookah Bar,34.78074221666667,32.42163758333333,Cyprus,378.7886836096473,2.5,5,3787,701,3.7,2.2,2625,none,0.0,soniaalam@instagram.com,False,https://maps.google.com/?cid=15773045733818165379&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,SmoClock Hookah Bar,26 652636,http://www.instagram.com/smoclock_,"Thermopylon Rd 67, Pafos 8016, Cyprus","hookah_bar, point_of_interest, establishment",ChIJPYBkQaMH5xQRg-g4loYd5do,http://www.instagram.com/smoclock_,26 652636
,Dimitris Achilleos MOT,34.78130721428572,32.42281412857143,Cyprus,339.7328039870829,1.5,3,2272,420,3.7,1.3,1575,none,0.0,,False,https://maps.google.com/?cid=17736316884483903966&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Dimitris Achilleos MOT,,,"Charilaou Trikoupi, Pafos 8020, Cyprus","point_of_interest, establishment",ChIJa4IBNkAH5xQR3hFtQzwOJPY,,
,CHRISTAKIS PETRAKIDES & SONS LTD,34.781945642857146,32.422312271428574,Cyprus,308.2753374749392,2.0,4,3030,560,3.7,1.7,2100,none,0.004,,False,https://maps.google.com/?cid=13373185018935054575&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,CHRISTAKIS PETRAKIDES & SONS LTD,26 948245,,"Charilou Trikoupi 8 Χαρίλαου Τρικούπη Paphos CY, Baf 8020, Cyprus","car_repair, auto_parts_store, storage, point_of_interest, store, service, establishment",ChIJoS3KSF4G5xQR7xAzqesYl7k,,26 948245
,X.PAPASAVVAS GARAGE,34.7823733,32.413595120000004,Cyprus,301.1236755830188,1.0,2,1515,280,3.7,0.9,1050,none,0.0,,False,https://maps.google.com/?cid=13724237989075569244&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,X.PAPASAVVAS GARAGE,,,"QCJ7+R63, Kâmil Toçan, Baf 8016, Cyprus","car_repair, service, point_of_interest, establishment",ChIJyzG0SQAH5xQRXErFp7xJdr4,,
,La Beautique Beauty Spa,34.7788794,32.42380105555556,Cyprus,287.42746110364897,2.5,5,3787,701,3.7,2.2,2625,none,0.0,,False,https://maps.google.com/?cid=17785647174227893793&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,La Beautique Beauty Spa,99 571951,,"Marias Sygklitikis 2, Pafos 8010, Cyprus","makeup_artist, spa, point_of_interest, establishment",ChIJPWOm56YH5xQRIZ5IYN9P0_Y,,99 571951
,Churrito,34.78053691428572,32.42073201428571,Cyprus,282.7509583625213,2.0,4,3030,560,3.7,1.7,2100,none,0.007,,False,https://maps.google.com/?cid=228778002416598374&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Churrito,26 352235,https://www.facebook.com/churritopafos/,"Fellahoğlu 21, Baf 8016, Cyprus","dessert_shop, confectionery, restaurant, point_of_interest, food_store, food, store, establishment",ChIJA82Km8oH5xQRZv12jmHILAM,https://www.facebook.com/churritopafos/,26 352235
YES,Ljuba’s Brows & Nails Studio,34.780459,32.422454933333334,Cyprus,279.4833470096487,1.0,2,1515,280,3.7,0.9,1050,partial,0.098,soniaalam@instagram.com,False,https://maps.google.com/?cid=17248311804442071955&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Ljuba’s Brows & Nails Studio,99 792543,https://www.instagram.com/ljuba_brows_nails_paphos?igsh=MTRsNHdsNXhibGw4ag==,"12, Αθήνας 3-Office nr, Baf 8010, Cyprus","beauty_salon, point_of_interest, service, establishment",ChIJ_Za0SQAH5xQRk1PyXjNQXu8,https://www.instagram.com/ljuba_brows_nails_paphos?igsh=MTRsNHdsNXhibGw4ag==,99 792543
YES,Pentaras Motors,34.78220108888889,32.4216195,Cyprus,228.68128498643983,1.0,2,1515,280,3.7,0.9,1050,none,0.0,ajax-loader@2x.gif,False,https://maps.google.com/?cid=7313043425044472618&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Pentaras Motors,26 952151,http://www.pentarassales.com/,"Charilaou Trikoupi, Pafos 8020, Cyprus","toy_store, bicycle_store, car_dealer, car_repair, manufacturer, sporting_goods_store, service, store, point_of_interest, establishment",ChIJ9c22T14G5xQRKiPIuD8mfWU,http://www.pentarassales.com/,26 952151
,G Fitness,34.78137096,32.423818159999996,Cyprus,222.9866195019091,22.0,44,33325,6165,3.7,19.0,23100,likely,0.233,,False,https://maps.google.com/?cid=8435810333089250959&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,G Fitness,97 799298,https://www.facebook.com/Gp.fitnes,"Charilaou Trikoupi 3, 8020, Pafos 8020, Cyprus","gym, sports_activity_location, health, point_of_interest, establishment",ChIJ410zMl4G5xQRj75amM0EEnU,https://www.facebook.com/Gp.fitnes,97 799298
