send,name,lat,lon,addr,roof_area_m2,peak_kw,panel_count,annual_kwh,savings_eur,payback_yrs,co2_tonnes,system_cost,pv_status,pv_coverage,email_found,email_sent,gmaps_url,gmb_found,gmb_confidence,gmb_name,gmb_phone,gmb_website,gmb_address,google_types,place_id,website,phone
YES,Domoplex Ltd,34.70597303,33.07100226,Cyprus,7943.539463130102,794.0,1588,1199026,221820,3.8,683.4,833700,none,0.0,info@domoplex.com.cy,False,https://maps.google.com/?cid=7342974240305315885&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Domoplex Ltd,77 771110,http://www.domoplex.com.cy/,"P34C+7G5, Iapetou, Agios Athanasios 4101, Cyprus","manufacturer, point_of_interest, establishment",ChIJGx19ylE15xQRLQA-tCp852U,http://www.domoplex.com.cy/,77 771110
,3F Warehouse,34.706094615384615,33.068394892307694,Cyprus,7522.262519479209,752.0,1504,1135601,210086,3.8,647.3,789600,likely,0.205,,False,https://maps.google.com/?cid=5104284598749681416&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,MEDIUM,3F Warehouse,96 329213,https://3fgroup.com.cy/,"Mathaiou Mathaiou 5, Agios Athanasios 4101, Cyprus","storage, point_of_interest, establishment",ChIJ2cY2NFI15xQRCNf4hMwP1kY,https://3fgroup.com.cy/,96 329213
,FXGT Limassol,34.705738796666665,33.07003610666667,"17, Iapetou",6175.257392671047,617.5,1235,932492,172511,3.8,531.5,648375,none,0.0,,False,https://maps.google.com/?cid=12057835609443872204&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,MEDIUM,FXGT Limassol,,https://fxgtcareers.com/,"Iapetou 17, Agios Athanasios 4101, Cyprus","finance, point_of_interest, establishment",ChIJTTLkh8415xQRzC31BJoJVqc,https://fxgtcareers.com/,
,Grand Car Service,34.70642925,33.06329325,"4a, Alkidamou, Limassol, 4101",6004.007277405637,600.0,1200,906065,167622,3.8,516.5,630000,none,0.0,,False,https://maps.google.com/?cid=5165495367152609695&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Grand Car Service,,,"Falea 8, Limasol 4101, Cyprus","chauffeur_service, transportation_service, point_of_interest, establishment",ChIJ93DH51M15xQRn6kOIKuGr0c,,
YES,Asbis,34.70508385714286,33.06343997142857,"5, Iapetou, Limassol, 4101",5468.214224055976,546.5,1093,825275,152676,3.8,470.4,573825,none,0.0,pw@asbispoland.com,False,https://maps.google.com/?cid=12796209564450383173&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,ASBIS TECH CLUSTER,25 857000,https://www.asbis.com/,"Iapetou 1, Agios Athanasios 4101, Cyprus","point_of_interest, establishment",ChIJkXP_I-M15xQRRWWFOM1ElbE,https://www.asbis.com/,25 857000
,plant,34.70799498421053,33.07228325263158,Cyprus,5317.08646423556,531.5,1063,802621,148485,3.8,457.5,558075,none,0.0,,False,https://maps.google.com/?cid=8192186083865036200&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,plant,70 006455,http://charalambideschristis.com.cy/,"Falea 18 a, Agios Athanasios 4101, Cyprus","supplier, wholesaler, food, point_of_interest, establishment",ChIJE2D9vq405xQRqIWs1tZ9sHE,http://charalambideschristis.com.cy/,70 006455
YES,"Medochemie Ltd (Factory AZ)""polychromo""",34.706224475,33.074353675,Cyprus,4746.05333084236,474.5,949,716547,132561,3.8,408.4,498225,none,0.004,michaela.kucerova@medochemie.com,False,https://maps.google.com/?cid=8294614111426465065&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,MEDIUM,"Medochemie Ltd (Factory AZ)""polychromo""",,http://www.medochemie.com/,"Michael Irakleous 2 4101, Agios Athanasios 4101, Cyprus","health, point_of_interest, manufacturer, establishment",ChIJm3g24qg05xQRKU2EbJZjHHM,http://www.medochemie.com/,
YES,Medochemie Ltd (Pegasus),34.707730670588234,33.07387085294118,Cyprus,3577.292251023861,357.5,715,539864,99875,3.8,307.7,375375,confirmed,0.511,michaela.kucerova@medochemie.com,False,https://maps.google.com/?cid=13751718880119075664&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Medochemie Ltd (Pegasus),25 867600,http://www.medochemie.com/,"P34F+WCX, Agios Athanasios 4101, Cyprus","health, manufacturer, point_of_interest, establishment",ChIJ6QECrc015xQRULOHNHbr174,http://www.medochemie.com/,25 867600
YES,FirePro,34.70643156,33.06411412,"8/1, Falea, Limassol, 4101",3449.7726354647193,344.5,689,520233,96243,3.8,296.5,361725,none,0.0,info@firepro.com,False,https://maps.google.com/?cid=2721851411035001064&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,MEDIUM,FirePro,25 379999,https://www.firepro.com/,"Falea 8, Limasol 4101, Cyprus","service, point_of_interest, establishment",ChIJ9aE12wIz5xQR6BAj9m_1xSU,https://www.firepro.com/,25 379999
YES,Columbia Restaurants Head Offices,34.705276500000004,33.066773760000004,Cyprus,3445.412918703085,344.5,689,520232,96243,3.8,296.5,361725,none,0.0,y.mousourakis@columbia-restaurants.com,False,https://maps.google.com/?cid=5175438793376520634&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Columbia Restaurants Head Offices,25 892300,http://www.columbia-restaurants.com/,"Iapetou 9 Άγιος Αθανάσιος, Αγ. Αθανάσιος 4101, Cyprus","corporate_office, point_of_interest, establishment",ChIJkcqs4qCC4BQRutn7cyna0kc,http://www.columbia-restaurants.com/,25 892300
,AstralPool Cyprus - Wholesale Trading,34.70666832,33.06870446,Cyprus,3444.4661994843445,344.0,688,519477,96103,3.8,296.1,361200,none,0.0,,False,https://maps.google.com/?cid=2086996806606893028&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,AstralPool Cyprus - Wholesale Trading,25 754424,,"Mathaiou Mathaiou 5, Agios Athanasios 4101, Cyprus","wholesaler, point_of_interest, establishment",ChIJ4yhPGTE15xQR5K8tyYmA9hw,,25 754424
